Time,Cometa_Voltage_1,Cometa_Voltage_2,Cometa_Voltage_3,Cometa_Voltage_4,Cometa_Voltage_5,Cometa_Voltage_6,Cometa_Voltage_7,Cometa_Voltage_8,Cometa_Voltage_9,Cometa_Voltage_10,Cometa_Voltage_11,Cometa_Voltage_12,Cometa_Voltage_13,Cometa_Voltage_14,Cometa_Voltage_15,Cometa_Voltage_16,FP1_Force_Fx,FP1_Force_Fy,FP1_Force_Fz,FP1_Moment_Mx,FP1_Moment_My,FP1_Moment_Mz,FP1_CoP_Cx,FP1_CoP_Cy,FP1_CoP_Cz,FP1_Raw_Pin1,FP1_Raw_Pin2,FP1_Raw_Pin3,FP1_Raw_Pin4,FP1_Raw_Pin5,FP1_Raw_Pin6,FP2_Force_Fx,FP2_Force_Fy,FP2_Force_Fz,FP2_Moment_Mx,FP2_Moment_My,FP2_Moment_Mz,FP2_CoP_Cx,FP2_CoP_Cy,FP2_CoP_Cz,FP3_Force_Fx,FP3_Force_Fy,FP3_Force_Fz,FP3_Moment_Mx,FP3_Moment_My,FP3_Moment_Mz,FP3_CoP_Cx,FP3_CoP_Cy,FP3_CoP_Cz,TS00605_accel_x,TS00605_accel_y,TS00605_accel_z,TS00605_gyro_x,TS00605_gyro_y,TS00605_gyro_z,TS00605_mag_x,TS00605_mag_y,TS00605_mag_z,TS00605_GlobalAngle_x,TS00605_GlobalAngle_y,TS00605_GlobalAngle_z,TS00605_HighG_x,TS00605_HighG_y,TS00605_HighG_z,TS01962_accel_x,TS01962_accel_y,TS01962_accel_z,TS01962_gyro_x,TS01962_gyro_y,TS01962_gyro_z,TS01962_mag_x,TS01962_mag_y,TS01962_mag_z,TS01962_GlobalAngle_x,TS01962_GlobalAngle_y,TS01962_GlobalAngle_z,TS01962_HighG_x,TS01962_HighG_y,TS01962_HighG_z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.0158,-8.6266,-464.722,175066,55600.6,-2886.15,119.643,-376.712,0,0.078125,-0.0183105,1.29105,-0.897675,0.418854,0.0814819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.359,9826.64,637.869,0.320394,1.28262,-1.03029,-5.85e-06,-6.04942e-05,7.24422e-06,12.4211,117.088,126.598,3348.61,16305.4,8803.8,150.387,-9751.34,393.927,-2.71722,-0.936452,2.23537,4.095e-05,6.55908e-05,-3.42408e-05,14.2431,-127.047,136.458,-1921.53,-7983.6,14813.5
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.13891,-8.61305,-465.759,174983,55652,-2802.52,119.487,-375.694,0,0.0788879,-0.018158,1.29395,-0.897217,0.419159,0.0802612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.791,9809.21,624.783,0.251915,1.18263,-1.07668,-5.85e-06,-6.0517e-05,7.26696e-06,12.4802,117.053,126.559,3106.92,16559.2,9217.32,149.686,-9743.22,398.637,-2.62087,-1.01534,2.20129,4.10264e-05,6.56294e-05,-3.42507e-05,14.2426,-127.051,136.458,-1489.18,-7706.69,15070.4
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.19148,-8.7876,-464.776,175025,55575.8,-2812.21,119.576,-376.578,0,0.0733948,-0.0192261,1.2912,-0.897522,0.419159,0.0804138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.222,9791.79,611.696,0.183437,1.08265,-1.12306,-5.85e-06,-6.05397e-05,7.28969e-06,12.5392,117.018,126.521,2865.23,16813,9630.83,148.986,-9735.09,403.348,-2.52452,-1.09423,2.16721,4.11028e-05,6.5668e-05,-3.42607e-05,14.2422,-127.056,136.457,-1056.84,-7429.79,15327.2
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.71165,-8.29138,-465.705,175070,55597.1,-2811.76,119.383,-375.924,0,0.0764465,-0.0163269,1.29379,-0.897522,0.419006,0.0804138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.654,9774.36,598.609,0.114958,0.982661,-1.16945,-5.85e-06,-6.05624e-05,7.31242e-06,12.5982,116.983,126.483,2623.54,17066.8,10044.3,148.285,-9726.96,408.058,-2.42817,-1.17312,2.13313,4.11792e-05,6.57065e-05,-3.42706e-05,14.2417,-127.06,136.456,-624.496,-7152.89,15584
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.63036,-8.77617,-466.152,175175,55551,-2873.29,119.169,-375.789,0,0.0759888,-0.0190735,1.29501,-0.898285,0.418701,0.0813293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.085,9756.93,585.523,0.0464794,0.882674,-1.21583,-5.85e-06,-6.05852e-05,7.33515e-06,12.6572,116.948,126.445,2381.85,17320.6,10457.9,147.584,-9718.84,412.769,-2.33182,-1.25201,2.09905,4.12556e-05,6.57451e-05,-3.42805e-05,14.2413,-127.065,136.456,-192.153,-6875.98,15840.9
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.36517,-8.7236,-466.149,175122,55632.2,-2832.01,119.344,-375.677,0,0.0744629,-0.0187683,1.29501,-0.89798,0.419464,0.080719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.7758,9745.59,573.327,0.0298596,0.86326,-1.19377,-5.85e-06,-6.06079e-05,7.35789e-06,12.7156,116.914,126.407,2206.15,17107.9,10599.3,156.611,-9723.44,420.315,-2.30373,-1.25459,2.09589,4.13401e-05,6.57938e-05,-3.42975e-05,14.2408,-127.069,136.455,-177.404,-6686.16,15934
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.49486,-8.51179,-466.318,175199,55561,-2925.36,119.148,-375.708,0,0.0752258,-0.0175476,1.29547,-0.898285,0.418854,0.0820923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4739,9739.1,561.844,0.0547269,0.908305,-1.11694,-5.85e-06,-6.06306e-05,7.38062e-06,12.7735,116.88,126.369,2083.25,16522.1,10523.1,173.42,-9738.24,430.129,-2.33025,-1.19613,2.11745,4.14312e-05,6.58508e-05,-3.43203e-05,14.2403,-127.073,136.454,-496.732,-6565.99,15896
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.0415,-8.20056,-467.308,175432,55522.9,-2933.76,118.814,-375.409,0,0.0784302,-0.0157166,1.29822,-0.899353,0.418243,0.0822449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.1721,9732.62,550.361,0.0795942,0.953349,-1.04012,-5.85e-06,-6.06534e-05,7.40335e-06,12.8314,116.847,126.332,1960.34,15936.2,10446.9,190.23,-9753.03,439.944,-2.35677,-1.13766,2.13902,4.15223e-05,6.59077e-05,-3.43431e-05,14.2399,-127.077,136.453,-816.059,-6445.83,15858
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.4903,-8.48854,-466.707,175319,55479.2,-2976.17,118.874,-375.651,0,0.0752258,-0.017395,1.29654,-0.898895,0.418243,0.0828552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8703,9726.14,538.879,0.104461,0.998394,-0.963298,-5.85e-06,-6.06761e-05,7.42608e-06,12.8893,116.813,126.294,1837.44,15350.3,10370.7,207.039,-9767.82,449.758,-2.38329,-1.0792,2.16058,4.16134e-05,6.59646e-05,-3.43659e-05,14.2394,-127.081,136.453,-1135.39,-6325.66,15820.1
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.59128,-8.49299,-467.03,175173,55364,-2902.9,118.545,-375.079,0,0.0758362,-0.017395,1.29745,-0.898132,0.417328,0.0817871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.7732,9720.5,528.907,0.123483,1.04764,-0.888926,-5.84468e-06,-6.06953e-05,7.44882e-06,12.9472,116.779,126.257,1723.69,14865.4,10252.2,220.729,-9778.22,462.395,-2.40371,-1.02463,2.1855,4.17045e-05,6.60216e-05,-3.43886e-05,14.2389,-127.085,136.452,-1417.94,-6239.35,15817
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.1171,-8.55386,-467.862,175461,55427.8,-2995.54,118.47,-375.026,0,0.0788879,-0.0177002,1.29974,-0.899658,0.41748,0.0831604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3145,9721.65,531.027,0.0957405,1.13051,-0.834166,-5.79676e-06,-6.06861e-05,7.47155e-06,13.0057,116.746,126.22,1683.18,15188.3,9795.15,209.465,-9753.48,497.608,-2.37539,-1.00118,2.23727,4.17956e-05,6.60785e-05,-3.44114e-05,14.2377,-127.088,136.452,-1406.34,-6423.8,16093.5
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90828,-8.17273,-467.312,175551,55491.9,-2964.11,118.747,-375.661,0,0.0776672,-0.015564,1.29822,-0.899963,0.418091,0.0827026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.8558,9722.79,533.148,0.0679979,1.21337,-0.779405,-5.74885e-06,-6.06768e-05,7.49428e-06,13.0642,116.713,126.183,1642.67,15511.3,9338.1,198.201,-9728.75,532.821,-2.34706,-0.977742,2.28904,4.18867e-05,6.61354e-05,-3.44342e-05,14.2365,-127.092,136.453,-1394.73,-6608.25,16369.9
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.51101,-8.43972,-467.144,175324,55398.8,-2933.41,118.59,-375.31,0,0.0753784,-0.0170898,1.29776,-0.898895,0.417633,0.0822449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.3971,9723.94,535.268,0.0402553,1.29624,-0.724644,-5.70093e-06,-6.06676e-05,7.51701e-06,13.1226,116.68,126.146,1602.16,15834.2,8881.04,186.937,-9704.02,568.034,-2.31873,-0.954299,2.34081,4.19778e-05,6.61924e-05,-3.4457e-05,14.2353,-127.095,136.453,-1383.12,-6792.7,16646.4
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.19614,-8.33908,-467.746,175391,55433.1,-2912.32,118.511,-374.97,0,0.0793457,-0.0164795,1.29944,-0.8992,0.41748,0.0819397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.9384,9725.08,537.388,0.0125126,1.3791,-0.669883,-5.65302e-06,-6.06584e-05,7.53975e-06,13.181,116.647,126.11,1561.65,16157.1,8423.99,175.674,-9679.29,603.248,-2.29041,-0.930857,2.39257,4.20689e-05,6.62493e-05,-3.44797e-05,14.2341,-127.098,136.454,-1371.52,-6977.15,16922.8
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.14321,-8.44278,-467.696,175556,55367.1,-2900.33,118.383,-375.363,0,0.0790405,-0.0170898,1.29929,-0.900116,0.417023,0.0817871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.421,9735.37,534.534,-0.0285085,1.40151,-0.678503,-5.56885e-06,-6.0625e-05,7.56248e-06,13.2398,116.614,126.073,1887.8,16264.7,8534.87,172.46,-9709.09,605.549,-2.28559,-0.94619,2.43068,4.20803e-05,6.63129e-05,-3.44826e-05,14.2329,-127.102,136.454,-1377.77,-7043.98,17074.2
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.6713,-8.75891,-467.262,175528,55371.1,-2973.85,118.501,-375.653,0,0.0762939,-0.0189209,1.29807,-0.900116,0.417328,0.0828552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.875,9750.23,529.194,-0.0761688,1.39368,-0.718813,-5.46656e-06,-6.05796e-05,7.58521e-06,13.2988,116.581,126.036,2397.28,16264.7,8929.72,173.271,-9766.17,591.394,-2.29251,-0.980912,2.46196,4.20519e-05,6.63798e-05,-3.44755e-05,14.2318,-127.105,136.454,-1392.95,-7052.02,17163.1
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.75019,-8.38391,-467.316,175707,55519.9,-2900.24,118.806,-375.991,0,0.0767517,-0.0167847,1.29822,-0.900879,0.418396,0.0817871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.329,9765.08,523.854,-0.123829,1.38586,-0.759123,-5.36426e-06,-6.05341e-05,7.60794e-06,13.3577,116.548,126,2906.76,16264.7,9324.56,174.082,-9823.25,577.239,-2.29944,-1.01563,2.49324,4.20235e-05,6.64467e-05,-3.44684e-05,14.2307,-127.109,136.454,-1408.13,-7060.05,17252
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.03044,-8.31977,-468.522,175629,55482.4,-2952.28,118.42,-374.857,0,0.0784302,-0.0163269,1.30157,-0.900421,0.417938,0.08255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.783,9779.94,518.514,-0.17149,1.37803,-0.799434,-5.26196e-06,-6.04887e-05,7.63068e-06,13.4166,116.515,125.963,3416.23,16264.7,9719.41,174.892,-9880.33,563.084,-2.30637,-1.05036,2.52451,4.1995e-05,6.65136e-05,-3.44613e-05,14.2295,-127.113,136.455,-1423.31,-7068.08,17340.9
