Time,Sternum_X,Sternum_Y,Sternum_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,LASIS_X,LASIS_Y,LASIS_Z,RASIS_X,RASIS_Y,RASIS_Z,RPSIS_X,RPSIS_Y,RPSIS_Z,LPSIS_X,LPSIS_Y,LPSIS_Z,RKneeLateral_X,RKneeLateral_Y,RKneeLateral_Z,RKneeMedial_X,RKneeMedial_Y,RKneeMedial_Z,RFibulaHead_X,RFibulaHead_Y,RFibulaHead_Z,RAnkleLateral_X,RAnkleLateral_Y,RAnkleLateral_Z,RAnkleMedial_X,RAnkleMedial_Y,RAnkleMedial_Z,RHeel_X,RHeel_Y,RHeel_Z,RMT5_X,RMT5_Y,RMT5_Z,RMT2_X,RMT2_Y,RMT2_Z,RToe_X,RToe_Y,RToe_Z,LKneeLateral_X,LKneeLateral_Y,LKneeLateral_Z,LKneeMedial_X,LKneeMedial_Y,LKneeMedial_Z,LFibulaHead_X,LFibulaHead_Y,LFibulaHead_Z,LAnkleLateral_X,LAnkleLateral_Y,LAnkleLateral_Z,LAnkleMedial_X,LAnkleMedial_Y,LAnkleMedial_Z,LHeel_X,LHeel_Y,LHeel_Z,LMT5_X,LMT5_Y,LMT5_Z,LMT2_X,LMT2_Y,LMT2_Z,LToe_X,LToe_Y,LToe_Z
0,-202.022,111.926,1388.89,-385.49,4.00821,1445.07,-2.82652,13.6852,1419.9,-325.093,103.651,998.049,-66.0305,109.09,1003.71,-145.527,-69.495,1035.96,-225.059,-78.5182,1033.63,-32.4217,2.70208,505.176,-166.16,6.60402,505.537,-26.9324,-23.4139,464.289,-39.2433,-39.0998,99.2043,-115.111,12.1922,118.386,-105.577,-104.097,55.6589,16.7163,98.4856,41.4608,-38.1274,124.551,56.4509,-39.8669,171.614,41.3824,-337.87,3.52044,515.851,-206.117,24.9898,499.721,-341.261,-9.38138,462.822,-313.424,-56.289,104.099,-237.695,-18.4199,115.038,-254.137,-113.543,54.6425,-373.82,80.76,44.392,-315.593,114.731,56.7048,-322.046,165.222,39.3792
0.01,-202.08,112.176,1388.87,-385.505,4.1568,1445.03,-2.86506,14.024,1419.88,-325.189,103.883,998.026,-66.1436,109.39,1003.68,-145.566,-69.2052,1035.94,-225.105,-78.2518,1033.58,-32.3834,2.88983,505.236,-166.198,6.78127,505.547,-26.9478,-23.2067,464.28,-39.2601,-39.082,99.2163,-115.143,12.2211,118.385,-105.583,-104.078,55.689,16.7153,98.4913,41.4542,-38.136,124.56,56.4333,-39.8725,171.623,41.362,-337.916,3.64033,515.838,-206.143,25.0544,499.726,-341.296,-9.29296,462.817,-313.413,-56.2605,104.102,-237.692,-18.3902,115.033,-254.115,-113.536,54.6526,-373.811,80.7657,44.3864,-315.6,114.732,56.701,-322.046,165.228,39.3646
0.02,-202.128,112.426,1388.85,-385.53,4.32428,1445,-2.61022,14.5603,1419.98,-325.296,104.081,998.005,-66.2787,109.67,1003.67,-145.602,-68.9257,1035.93,-225.149,-78.0155,1033.56,-32.4421,3.09521,505.239,-166.253,6.93434,505.545,-26.9934,-23.0121,464.298,-39.2804,-39.0714,99.258,-115.165,12.2604,118.385,-105.599,-104.067,55.7222,16.7126,98.5,41.4627,-38.1382,124.578,56.4147,-39.878,171.634,41.3337,-337.969,3.74061,515.842,-206.191,25.1319,499.762,-341.331,-9.22373,462.829,-313.413,-56.2559,104.127,-237.692,-18.3546,115.049,-254.111,-113.534,54.6699,-373.806,80.7683,44.3865,-315.592,114.746,56.691,-322.049,165.241,39.3515
0.03,-202.182,112.695,1388.83,-385.544,4.51139,1444.96,-2.61375,14.8531,1419.98,-325.39,104.276,997.991,-66.385,109.998,1003.62,-145.636,-68.6638,1035.93,-225.183,-77.7882,1033.56,-32.4814,3.30737,505.226,-166.303,7.09187,505.543,-27.021,-22.8174,464.293,-39.2879,-39.0053,99.265,-115.197,12.2834,118.377,-105.62,-104.054,55.7474,16.7063,98.5121,41.4642,-38.134,124.591,56.3991,-39.8693,171.635,41.3038,-338.018,3.83338,515.842,-206.216,25.1951,499.781,-341.381,-9.1542,462.831,-313.413,-56.2385,104.162,-237.682,-18.3058,115.064,-254.104,-113.516,54.6799,-373.797,80.773,44.3739,-315.593,114.761,56.6825,-322.043,165.255,39.3342
0.04,-202.217,112.937,1388.8,-385.666,4.79427,1445,-2.69479,15.1376,1419.91,-325.492,104.45,997.973,-66.506,110.273,1003.58,-145.658,-68.3987,1035.93,-225.205,-77.5073,1033.54,-32.5484,3.48233,505.201,-166.347,7.22151,505.54,-27.0471,-22.6565,464.297,-39.2804,-38.9835,99.2709,-115.218,12.3252,118.368,-105.638,-104.046,55.7829,16.6993,98.5168,41.4591,-38.1509,124.606,56.3874,-39.8597,171.644,41.2886,-338.092,3.91283,515.836,-206.271,25.2443,499.79,-341.451,-9.10331,462.844,-313.401,-56.2199,104.173,-237.695,-18.2712,115.067,-254.091,-113.503,54.6838,-373.789,80.7796,44.3794,-315.59,114.766,56.6689,-322.044,165.26,39.3084
0.05,-202.26,113.178,1388.8,-385.594,4.90925,1444.9,-2.76223,15.3624,1419.88,-325.592,104.646,997.98,-66.631,110.524,1003.54,-145.681,-68.1265,1035.93,-225.23,-77.2373,1033.52,-32.6126,3.64602,505.173,-166.408,7.35519,505.549,-27.0965,-22.5079,464.338,-39.294,-38.9598,99.2757,-115.242,12.3427,118.375,-105.653,-104.04,55.8137,16.701,98.517,41.4606,-38.1479,124.617,56.3884,-39.8515,171.64,41.2743,-338.161,3.99231,515.833,-206.335,25.2976,499.815,-341.513,-9.05396,462.848,-313.407,-56.2154,104.182,-237.715,-18.248,115.069,-254.1,-113.508,54.7168,-373.789,80.784,44.3802,-315.584,114.776,56.6592,-322.043,165.265,39.2984
0.06,-202.299,113.413,1388.79,-385.626,5.11748,1444.89,-2.80519,15.5819,1419.81,-325.697,104.852,997.982,-66.7407,110.801,1003.5,-145.704,-67.8398,1035.91,-225.254,-76.9496,1033.49,-33.134,3.83464,504.851,-166.462,7.46639,505.56,-27.1255,-22.3493,464.35,-39.307,-39.0215,99.2963,-115.261,12.3659,118.379,-105.664,-104.038,55.8234,16.6871,98.5102,41.4701,-38.1633,124.617,56.3951,-39.8567,171.649,41.2826,-338.22,4.0506,515.841,-206.398,25.3486,499.831,-341.584,-9.02191,462.862,-313.399,-56.2098,104.19,-237.75,-18.2271,115.083,-254.104,-113.505,54.7265,-373.788,80.7803,44.3792,-315.59,114.783,56.6579,-322.055,165.265,39.2883
0.07,-202.323,113.683,1388.77,-385.727,5.40292,1444.96,-2.84879,15.7665,1419.77,-325.815,105.068,997.983,-66.8809,111.059,1003.48,-145.73,-67.5695,1035.9,-225.268,-76.7012,1033.46,-33.1678,3.98829,504.853,-166.506,7.60969,505.547,-27.1934,-22.2263,464.334,-39.3145,-39.0343,99.3169,-115.28,12.3743,118.375,-105.666,-104.036,55.8303,16.6755,98.5096,41.4717,-38.1699,124.632,56.4046,-39.859,171.639,41.2888,-338.287,4.10827,515.843,-206.464,25.3535,499.841,-341.648,-8.97042,462.866,-313.41,-56.1943,104.197,-237.761,-18.2132,115.098,-254.11,-113.508,54.7462,-373.792,80.7749,44.3785,-315.613,114.794,56.6672,-322.049,165.266,39.2841
0.08,-202.358,113.93,1388.74,-385.757,5.64492,1444.94,-2.87934,15.9513,1419.67,-325.917,105.263,997.977,-67.0367,111.185,1003.43,-145.76,-67.2953,1035.85,-225.287,-76.4516,1033.42,-33.2179,4.12857,504.845,-166.55,7.72774,505.537,-27.2122,-22.0982,464.333,-39.3259,-39.1076,99.3175,-115.303,12.383,118.37,-105.661,-104.037,55.8072,16.6668,98.506,41.4864,-38.1885,124.636,56.4082,-39.8762,171.648,41.3004,-338.349,4.16054,515.824,-206.53,25.4094,499.856,-341.713,-8.94312,462.863,-313.421,-56.1971,104.199,-237.792,-18.2172,115.091,-254.124,-113.517,54.7531,-373.795,80.7728,44.3769,-315.608,114.788,56.6553,-322.06,165.262,39.2786
0.09,-202.395,114.177,1388.73,-385.781,5.87217,1444.94,-2.90431,16.1412,1419.55,-326.005,105.449,997.938,-67.0685,111.661,1003.4,-145.802,-67.0493,1035.81,-225.332,-76.1806,1033.37,-33.2321,4.26923,504.867,-166.599,7.84021,505.513,-27.2349,-21.9799,464.329,-39.3562,-39.2006,99.3448,-115.332,12.3874,118.364,-105.66,-104.043,55.7769,16.6523,98.5017,41.4965,-38.2435,124.585,56.3646,-39.8875,171.732,41.4128,-338.417,4.19967,515.814,-206.568,25.46,499.85,-341.763,-8.9026,462.847,-313.426,-56.1963,104.193,-237.82,-18.1915,115.096,-254.134,-113.525,54.7627,-373.804,80.7773,44.3726,-315.627,114.791,56.6616,-322.054,165.259,39.2689
