Time,Cometa_Voltage_1,Cometa_Voltage_2,Cometa_Voltage_3,Cometa_Voltage_4,Cometa_Voltage_5,Cometa_Voltage_6,Cometa_Voltage_7,Cometa_Voltage_8,Cometa_Voltage_9,Cometa_Voltage_10,Cometa_Voltage_11,Cometa_Voltage_12,Cometa_Voltage_13,Cometa_Voltage_14,Cometa_Voltage_15,Cometa_Voltage_16,FP1_Force_Fx,FP1_Force_Fy,FP1_Force_Fz,FP1_Moment_Mx,FP1_Moment_My,FP1_Moment_Mz,FP1_CoP_Cx,FP1_CoP_Cy,FP1_CoP_Cz,FP1_Raw_Pin1,FP1_Raw_Pin2,FP1_Raw_Pin3,FP1_Raw_Pin4,FP1_Raw_Pin5,FP1_Raw_Pin6,FP2_Force_Fx,FP2_Force_Fy,FP2_Force_Fz,FP2_Moment_Mx,FP2_Moment_My,FP2_Moment_Mz,FP2_CoP_Cx,FP2_CoP_Cy,FP2_CoP_Cz,FP3_Force_Fx,FP3_Force_Fy,FP3_Force_Fz,FP3_Moment_Mx,FP3_Moment_My,FP3_Moment_Mz,FP3_CoP_Cx,FP3_CoP_Cy,FP3_CoP_Cz,TS00605_accel_x,TS00605_accel_y,TS00605_accel_z,TS00605_gyro_x,TS00605_gyro_y,TS00605_gyro_z,TS00605_mag_x,TS00605_mag_y,TS00605_mag_z,TS00605_GlobalAngle_x,TS00605_GlobalAngle_y,TS00605_GlobalAngle_z,TS00605_HighG_x,TS00605_HighG_y,TS00605_HighG_z,TS01962_accel_x,TS01962_accel_y,TS01962_accel_z,TS01962_gyro_x,TS01962_gyro_y,TS01962_gyro_z,TS01962_mag_x,TS01962_mag_y,TS01962_mag_z,TS01962_GlobalAngle_x,TS01962_GlobalAngle_y,TS01962_GlobalAngle_z,TS01962_HighG_x,TS01962_HighG_y,TS01962_HighG_z
8.345,0.197776,0.0337195,0.0551923,0.14456,0.0511295,0.0468948,0.0478903,0.0651328,0.0729806,0.075408,0.0703571,0.0463046,0.0514532,-0.0071463,3.29852,0.0560193,-42.4831,-130.68,-756.837,52181.3,-20022.6,2024.06,-26.4556,-68.9466,0,0.300751,-0.68985,2.10968,-0.305634,-0.168304,0.00762939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395.29,13868,970.954,45.1835,23.1586,-158.136,-4.57911e-05,-5.86984e-05,-3.285e-05,-73.956,120.744,137.344,4314.93,19267.2,9354.52,-17931.1,-12970.9,-7824.89,-24.4961,-59.9107,144.374,4.74522e-05,7.06957e-06,2.82196e-05,26.5101,-96.0657,131.833,-19144.2,-9572.78,9296.45
8.346,0.300316,0.0428748,0.0539716,0.127165,0.0425845,0.0423172,0.0341574,0.044686,0.083967,0.0659476,0.0624225,0.0420322,0.0459601,0.0773874,3.24817,0.0566296,-44.028,-132.206,-760.585,50333.7,-19020.3,3463.9,-25.0075,-66.1776,0,0.309753,-0.698242,2.12036,-0.296631,-0.161743,-0.0135803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505.69,14061.7,958.997,45.1908,23.9877,-159.077,-4.59958e-05,-5.86074e-05,-3.285e-05,-74.0448,120.606,137.206,4482.19,19818.9,9769.31,-18371.6,-12307.8,-8361.28,-29.053,-61.9687,147.187,4.73724e-05,7.13793e-06,2.82879e-05,26.4721,-96.2182,131.918,-19999.7,-8356.68,8510.03
8.347,0.363792,0.0291418,0.0454266,0.0270676,0.0511295,0.0423172,0.0433127,0.0431601,0.0107248,0.0470267,0.045943,0.0548496,0.0764777,0.0581613,3.1383,0.046864,-46.3451,-129.781,-767.742,45976.3,-18525,6904.68,-24.1292,-59.8851,0,0.323639,-0.683746,2.14096,-0.272675,-0.159302,-0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628.06,14232.9,955.989,45.2291,24.913,-160,-4.62004e-05,-5.85165e-05,-3.285e-05,-74.1371,120.466,137.067,4479.57,20205.9,10004.3,-18389.8,-11680.5,-8557.7,-32.1301,-65.5909,151.554,4.72927e-05,7.20629e-06,2.83563e-05,26.438,-96.3824,132.012,-20417.7,-7535.86,8014.43
8.348,0.0821149,0.0614905,0.0362714,0.00417938,0.0544864,0.052388,0.042092,0.0602499,0.0836618,0.040618,0.0517413,0.0725497,0.0566412,0.0721994,3.04187,0.0691418,-49.2392,-116.073,-768.204,43979.7,-18265.9,6793.94,-23.7774,-57.25,0,0.340729,-0.605164,2.14264,-0.25589,-0.158997,-0.0627136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774.35,14358.8,970.879,45.3295,26.0307,-160.892,-4.6405e-05,-5.84255e-05,-3.285e-05,-74.237,120.325,136.926,4137.17,20263.7,9879.83,-17563.3,-11125.1,-8074.18,-32.2476,-72.3413,159.032,4.72129e-05,7.27465e-06,2.84246e-05,26.4119,-96.5697,132.124,-19960.6,-7505.62,8100.5
8.349,0.000632935,0.0181555,0.040849,-0.0513626,0.0535709,0.0432327,0.0610129,0.0428549,0.0366647,0.0326834,0.0422809,0.036539,0.0679327,0.0532785,2.8908,0.064259,-47.0332,-105.062,-765.222,44311.3,-17724.2,2401.02,-23.1622,-57.9065,0,0.328064,-0.542145,2.13409,-0.25238,-0.153809,0.0012207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920.64,14484.8,985.769,45.4299,27.1484,-161.783,-4.66097e-05,-5.83346e-05,-3.285e-05,-74.3365,120.184,136.785,3794.77,20321.4,9755.32,-16736.8,-10569.6,-7590.65,-32.3651,-79.0918,166.509,4.71332e-05,7.34301e-06,2.8493e-05,26.3857,-96.7572,132.236,-19503.5,-7475.37,8186.56
8.35,-0.000892944,0.019071,0.023454,-0.0678421,0.0514346,0.0462845,0.0506369,0.0474326,0.0528391,0.0448904,0.0370929,0.0453891,0.03711,0.0596872,2.60699,0.0480847,-41.615,-116.883,-768.125,43800.3,-17103.2,1425.07,-22.2661,-57.0224,0,0.296631,-0.609436,2.14188,-0.254974,-0.146179,0.0154114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2066.93,14610.7,1000.66,45.5304,28.2661,-162.674,-4.68143e-05,-5.82436e-05,-3.285e-05,-74.4356,120.043,136.644,3452.37,20379.2,9630.82,-15910.3,-10014.2,-7107.13,-32.4825,-85.8422,173.987,4.70534e-05,7.41137e-06,2.85614e-05,26.3593,-96.9448,132.347,-19046.5,-7445.12,8272.63
8.351,-0.0100482,0.0196814,0.0307782,0.0600265,0.0511295,0.0630691,0.0674216,0.0541464,0.0751169,0.0589285,0.0389239,0.0459995,0.0502325,0.0532785,-3.12879,0.0651746,-38.0209,-132.228,-777.764,45157,-17398.2,5920.93,-22.3695,-58.06,0,0.276184,-0.696869,2.16873,-0.269165,-0.146179,-0.0497437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2213.23,14736.7,1015.55,45.6308,29.3838,-163.566,-4.70189e-05,-5.81527e-05,-3.285e-05,-74.5344,119.902,136.503,3109.98,20436.9,9506.31,-15083.8,-9458.78,-6623.61,-32.6,-92.5926,181.464,4.69737e-05,7.47973e-06,2.86297e-05,26.3328,-97.1325,132.458,-18589.4,-7414.87,8358.7
8.352,-0.0362933,0.01724,0.0475629,0.0108932,0.0627261,0.0661209,0.043923,0.0459067,0.085798,0.0387869,0.0651691,0.052103,0.0682379,0.0715891,-3.11475,0.0609021,-38.8932,-134.883,-783.476,47796.6,-17955.8,8104.5,-22.9182,-61.0058,0,0.281525,-0.711975,2.1846,-0.284271,-0.150757,-0.0811768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2318.24,14847.7,1030.74,45.6788,30.3938,-164.473,-4.7208e-05,-5.81319e-05,-3.28656e-05,-74.6403,119.758,136.359,3441.97,20940.7,9260.78,-12041,-9804.05,-5355.39,-30.5465,-102,186.752,4.67389e-05,7.5577e-06,2.8698e-05,26.3405,-97.3402,132.598,-15816.3,-7460,9434.8
8.353,0.00185364,0.0138831,0.046037,-0.0245071,0.0309879,0.0343826,0.0375143,0.0599448,0.0653513,0.0577078,0.0608966,0.0636996,0.0642706,0.0386301,-3.13214,0.0584607,-45.4411,-132.628,-778.556,45456,-18794,5328.76,-24.1396,-58.385,0,0.318909,-0.699158,2.17087,-0.270996,-0.16098,-0.0410461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2418.09,14956.7,1045.96,45.7202,31.3903,-165.382,-4.73951e-05,-5.81198e-05,-3.28831e-05,-74.7468,119.614,136.214,3858.26,21500.3,9000.11,-8721.23,-10261.9,-3989.09,-28.2216,-111.74,191.765,4.64849e-05,7.63686e-06,2.87663e-05,26.3523,-97.5505,132.741,-12753.6,-7514.56,10634.7
8.354,0.0299298,0.0331091,0.0774701,-0.0116898,0.0547916,0.0508621,0.0402609,0.0764243,0.0626047,0.0677786,0.0532672,0.0557651,0.0349738,0.0450388,-3.13703,0.0505261,-52.6372,-129.565,-769.539,41219.2,-18832.9,3611.53,-24.473,-53.5635,0,0.359802,-0.681915,2.146,-0.247498,-0.165558,-0.0166321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517.95,15065.8,1061.19,45.7616,32.3868,-166.292,-4.75822e-05,-5.81077e-05,-3.29006e-05,-74.853,119.47,136.07,4274.54,22059.9,8739.45,-5401.4,-10719.8,-2622.79,-25.8967,-121.479,196.778,4.62308e-05,7.71603e-06,2.88345e-05,26.3641,-97.761,132.884,-9691.02,-7569.11,11834.5
